0.0_t	0.0_f	0.0_t	0.0_f	0.0_t	0.0_f	
10.87928	1924.7800	10.87928	1919.2460	10.87928	1915.8150	
10.95379	1925.4450	10.95379	1917.8060	10.95379	1911.5450	
11.02831	1920.0710	11.02831	1924.7380	11.02831	1920.3810	
11.10282	1917.7050	11.10282	1916.4890	11.10282	1910.4840	
11.17734	1920.1130	11.17734	1922.0590	11.17734	1915.1630	
11.25186	1923.1920	11.25186	1920.1340	11.25186	1917.5230	
11.32637	1930.2250	11.32637	1912.4950	11.32637	1908.7310	
11.40089	1921.2070	11.40089	1916.7070	11.40089	1911.5780	
11.47540	1916.4890	11.47540	1918.9800	11.47540	1911.8460	
11.54992	1916.0510	11.54992	1917.4310	11.54992	1905.1610	
11.62443	1911.9890	11.62443	1912.5370	11.62443	1913.5560	
11.69895	1918.5720	11.69895	1909.6850	11.69895	1915.3920	
11.77346	1918.7960	11.77346	1909.2860	11.77346	1903.3220	
11.84798	1920.7270	11.84798	1911.3630	11.84798	1908.6630	
11.92250	1914.3280	11.92250	1912.0840	11.92250	1906.1600	
11.99701	1914.9510	11.99701	1910.6890	11.99701	1904.2940	
12.07153	1904.7980	12.07153	1909.3010	12.07153	1911.3780	
12.14604	1912.6530	12.14604	1912.1140	12.14604	1901.6740	
12.22056	1912.9280	12.22056	1903.3340	12.22056	1914.0270	
12.29507	1906.9790	12.29507	1905.2740	12.29507	1893.6930	
12.36959	1914.1700	12.36959	1905.0360	12.36959	1903.8020	
12.44411	1909.8640	12.44411	1905.2890	12.44411	1902.6640	
12.51862	1905.0720	12.51862	1905.3100	12.51862	1903.4210	
12.59314	1909.5660	12.59314	1903.6650	12.59314	1904.1840	
12.66765	1916.1430	12.66765	1902.4370	12.66765	1899.7760	
12.74217	1905.6950	12.74217	1905.4380	12.74217	1895.9400	
12.81668	1908.9070	12.81668	1898.6670	12.81668	1890.8590	
12.89120	1905.5280	12.89120	1904.5830	12.89120	1896.3990	
12.96571	1903.4860	12.96571	1907.1640	12.96571	1895.6450	
13.04023	1908.3170	13.04023	1904.1210	13.04023	1901.2600	
13.11475	1899.6150	13.11475	1895.7970	13.11475	1893.5560	
13.18926	1910.4600	13.18926	1897.6960	13.18926	1899.0870	
13.26378	1903.1470	13.26378	1896.0710	13.26378	1904.5650	
13.33829	1907.2710	13.33829	1902.2170	13.33829	1885.5360	
13.41281	1902.9740	13.41281	1894.1820	13.41281	1892.2180	
13.48732	1897.1500	13.48732	1900.4110	13.48732	1894.4590	
13.56184	1906.9940	13.56184	1900.2910	13.56184	1895.9020	
13.63635	1908.4450	13.63635	1892.2420	13.63635	1896.3960	
13.71087	1900.2200	13.71087	1896.4500	13.71087	1891.8250	
13.78539	1898.5960	13.78539	1895.6900	13.78539	1892.2210	
13.85990	1899.0870	13.85990	1902.5860	13.85990	1894.8880	
13.93442	1903.0090	13.93442	1900.2530	13.93442	1892.3820	
14.00893	1904.8270	14.00893	1890.6530	14.00893	1901.2090	
14.08345	1905.2210	14.08345	1893.8870	14.08345	1887.6370	
14.15796	1895.5380	14.15796	1897.5760	14.15796	1893.9550	
14.23248	1897.5530	14.23248	1891.0170	14.23248	1893.1090	
14.30700	1899.2720	14.30700	1896.6820	14.30700	1886.6270	
14.38151	1897.5530	14.38151	1890.6380	14.38151	1892.6200	
14.45603	1899.9340	14.45603	1892.4270	14.45603	1894.2360	
14.53054	1897.0340	14.53054	1890.9250	14.53054	1896.3630	
14.60506	1901.6330	14.60506	1897.4990	14.60506	1888.9190	
14.67957	1889.8400	14.67957	1887.8100	14.67957	1893.3450	
14.75409	1893.4970	14.75409	1888.6360	14.75409	1891.5800	
14.82860	1894.1910	14.82860	1892.7510	14.82860	1896.2590	
14.90312	1901.2090	14.90312	1888.9010	14.90312	1891.8250	
14.97764	1895.4310	14.97764	1891.8040	14.97764	1889.8870	
15.05215	1889.6940	15.05215	1896.9860	15.05215	1892.1350	
15.12667	1897.5680	15.12667	1890.7430	15.12667	1887.1040	
15.20118	1893.6840	15.20118	1893.6600	15.20118	1882.9080	
15.27570	1895.8120	15.27570	1898.3450	15.27570	1889.0020	
15.35021	1897.5080	15.35021	1887.2590	15.35021	1885.4080	
15.42473	1903.2030	15.42473	1885.4170	15.42473	1890.1320	
15.49924	1896.8160	15.49924	1889.8580	15.49924	1881.8080	
15.57376	1896.7960	15.57376	1891.2640	15.57376	1881.9450	
15.64828	1892.7010	15.64828	1885.5600	15.64828	1885.6790	
15.72279	1882.9910	15.72279	1882.6070	15.72279	1885.9030	
15.79731	1891.7080	15.79731	1884.7790	15.79731	1888.2160	
15.87182	1886.6900	15.87182	1892.1230	15.87182	1884.1420	
15.94634	1892.0270	15.94634	1886.4720	15.94634	1886.3890	
16.02085	1886.8420	16.02085	1886.7580	16.02085	1886.2690	
16.09537	1893.0290	16.09537	1880.1690	16.09537	1882.0230	
16.16989	1890.0480	16.16989	1888.7610	16.16989	1887.9890	
16.24440	1896.6320	16.24440	1885.8310	16.24440	1885.2170	
16.31892	1888.1080	16.31892	1886.6330	16.31892	1890.0900	
16.39343	1890.2360	16.39343	1889.1900	16.39343	1874.7210	
16.46795	1886.9280	16.46795	1889.3030	16.46795	1877.3670	
16.54246	1892.6530	16.54246	1883.1970	16.54246	1884.2970	
16.61698	1889.7620	16.61698	1889.0140	16.61698	1880.2940	
16.69149	1890.1740	16.69149	1887.8580	16.69149	1881.6740	
16.76601	1897.4180	16.76601	1883.8260	16.76601	1874.5600	
16.84053	1889.0050	16.84053	1882.5710	16.84053	1881.0780	
16.91504	1883.4260	16.91504	1884.7670	16.91504	1885.5900	
16.98956	1892.2180	16.98956	1881.4980	16.98956	1874.2110	
17.06407	1889.3750	17.06407	1883.1730	17.06407	1877.5580	
17.13859	1883.1400	17.13859	1888.3500	17.13859	1874.1070	
17.21310	1883.5720	17.21310	1881.9030	17.21310	1880.4610	
17.28762	1889.3150	17.28762	1881.1020	17.28762	1878.1570	
17.36213	1882.2370	17.36213	1878.0620	17.36213	1875.8510	
17.43665	1890.2000	17.43665	1884.2370	17.43665	1874.0770	
17.51117	1884.8990	17.51117	1879.8080	17.51117	1878.6010	
17.58568	1881.4150	17.58568	1881.3820	17.58568	1880.6820	
17.66020	1886.7790	17.66020	1881.4410	17.66020	1881.0510	
17.73471	1884.4870	17.73471	1883.7540	17.73471	1871.8960	
17.80923	1884.1920	17.80923	1879.1500	17.80923	1872.9900	
17.88374	1888.6480	17.88374	1885.4470	17.88374	1875.4300	
17.95826	1886.1170	17.95826	1883.2000	17.95826	1870.9210	
18.03278	1887.5120	18.03278	1879.0480	18.03278	1879.5490	
18.10729	1881.5280	18.10729	1882.9910	18.10729	1878.0800	
18.18181	1882.3440	18.18181	1879.1970	18.18181	1875.2570	
18.25632	1881.1170	18.25632	1881.2750	18.25632	1872.5040	
18.33084	1885.8100	18.33084	1886.6870	18.33084	1872.1550	
18.40535	1883.5630	18.40535	1870.3490	18.40535	1879.6680	
18.47987	1890.0100	18.47987	1878.2470	18.47987	1871.9380	
18.55438	1883.5250	18.55438	1878.3930	18.55438	1878.7740	
18.62890	1883.3100	18.62890	1876.5870	18.62890	1871.9170	
18.70342	1879.9720	18.70342	1875.2040	18.70342	1877.1350	
18.77793	1886.2720	18.77793	1882.2580	18.77793	1871.9200	
18.85245	1882.1810	18.85245	1869.8570	18.85245	1873.5290	
18.92696	1874.6020	18.92696	1881.5700	18.92696	1871.4820	
19.00148	1883.7870	19.00148	1879.2600	19.00148	1871.6840	
19.07599	1885.9570	19.07599	1871.2430	19.07599	1875.1560	
19.15051	1881.1140	19.15051	1883.7120	19.15051	1867.9230	
19.22502	1888.3380	19.22502	1880.1630	19.22502	1867.1690	
19.29954	1876.1070	19.29954	1879.8050	19.29954	1879.0010	
19.37406	1882.6010	19.37406	1876.7270	19.37406	1866.3790	
19.44857	1879.6650	19.44857	1875.6330	19.44857	1876.5780	
19.52309	1879.1530	19.52309	1876.1580	19.52309	1877.3970	
19.59760	1880.3120	19.59760	1875.3770	19.59760	1872.4200	
19.67212	1879.4630	19.67212	1873.0730	19.67212	1874.3310	
19.74663	1876.1870	19.74663	1882.8270	19.74663	1880.0820	
19.82115	1883.4200	19.82115	1881.2000	19.82115	1880.2700	
19.89567	1876.1010	19.89567	1877.4660	19.89567	1873.6390	
19.97018	1876.1750	19.97018	1874.1880	19.97018	1871.4190	
20.04470	1874.4380	20.04470	1881.2060	20.04470	1874.2830	
20.11921	1876.3780	20.11921	1874.4260	20.11921	1877.9930	
20.19373	1875.4990	20.19373	1872.6830	20.19373	1870.8290	
20.26824	1878.9470	20.26824	1873.7320	20.26824	1870.4860	
20.34276	1875.5610	20.34276	1873.5800	20.34276	1876.6670	
20.41727	1875.8740	20.41727	1878.6520	20.41727	1872.6650	
